Funnel Historico por Mes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Enero 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Ange,,,,,,,Piso,,,,,,,,Digital ,,,,,,,Galerias Tlaxcala,,,,,,,Otros,,,,,,,,Plaza Moraledas,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,,,,,,,,,,,,,,,,,,,,
Funnel Julio 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Ange,,,,,,,Piso ,,,,,,,,Digital ,,,,,,,Gran Patio,,,,,,,Otros,,,,,,,,Estrategia de Prospeccion,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,,,,,,,,,,,,,,,,,,,
Ventas ,45,36,80%,45,80%,,Ventas ,10,10,100%,10,100%,,Ventas ,15,7,47%,15,47%,,,Ventas ,13,9,69%,13,69%,,Ventas ,6,4,67%,6,67%,,Ventas ,0,5,0%,0,0%,,,Ventas ,2,1,50%,2,50%,,,,,,,,,,,,,,,,,,,,,
Leads generados,1050,1358,110%,1050,110%,,Leads generados,280,351,110%,280,110%,,Leads generados,80,63,79%,80,79%,,,Leads generados,500,699,110%,500,110%,,Leads generados,160,141,88%,160,88%,,Leads generados,20,34,110%,20,110%,,,Leads generados,50,55,110%,50,110%,,,,,,,,,,,,,,,,,,,,,
Leads efectivos,750,893,110%,750,110%,,Leads efectivos,220,278,110%,220,110%,,Leads efectivos,80,63,79%,80,79%,,,Leads efectivos,410,391,95%,410,95%,,Leads efectivos,100,86,86%,100,86%,,Leads efectivos,20,20,100%,20,110%,,,Leads efectivos,38,44,110%,38,110%,,,,,,,,,,,,,,,,,,,,,
Cita programada,230,256,110%,230,110%,,Cita programada,95,53,56%,95,56%,,Cita programada,80,63,79%,80,79%,,,Cita programada,100,89,89%,100,89%,,Cita programada,40,10,25%,40,25%,,Cita programada,6,14,110%,6,110%,,,Cita programada,23,17,74%,23,74%,,,,,,,,,,,,,,,,,,,,,
Cita efectiva,185,193,104%,185,104%,,Cita efectiva,40,44,110%,40,110%,,Cita efectiva,80,63,79%,80,79%,,,Cita efectiva,60,45,75%,60,75%,,Cita efectiva,34,7,21%,34,21%,,Cita efectiva,6,14,110%,6,110%,,,Cita efectiva,14,10,71%,14,71%,,,,,,,,,,,,,,,,,,,,,
Prueba de manejo,110,127,110%,110,110%,,Prueba de manejo,28,35,110%,28,110%,,Prueba de manejo,48,38,79%,48,79%,,,Prueba de manejo,36,33,92%,36,92%,,Prueba de manejo,20,2,10%,20,10%,,Prueba de manejo,6,6,100%,6,110%,,,Prueba de manejo,9,9,100%,9,100%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito generada,100,104,104%,100,104%,,Solicitud de crédito generada,25,27,108%,25,108%,,Solicitud de crédito generada,35,14,40%,35,40%,,,Solicitud de crédito generada,28,29,104%,28,104%,,Solicitud de crédito generada,17,9,53%,17,53%,,Solicitud de crédito generada,6,17,110%,6,110%,,,Solicitud de crédito generada,8,8,100%,8,100%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito aprobada,51,41,80%,51,80%,,Solicitud de crédito aprobada,13,13,100%,13,100%,,Solicitud de crédito aprobada,17,5,29%,17,29%,,,Solicitud de crédito aprobada,15,12,80%,15,80%,,Solicitud de crédito aprobada,10,4,40%,10,40%,,Solicitud de crédito aprobada,2,5,110%,2,110%,,,Solicitud de crédito aprobada,6,2,33%,6,33%,,,,,,,,,,,,,,,,,,,,,
Formalizado,38,21,55%,38,55%,,Formalizado,9,8,89%,9,89%,,Formalizado,14,2,14%,14,14%,,,Formalizado,11,7,64%,11,64%,,Formalizado,5,2,40%,5,40%,,Formalizado,2,1,50%,2,110%,,,Formalizado,2,1,50%,2,50%,,,,,,,,,,,,,,,,,,,,,
Ventas ,45,36,80%,45,80%,,Ventas ,10,10,100%,10,100%,,Ventas ,15,7,47%,15,47%,,,Ventas ,13,9,69%,13,69%,,Ventas ,6,4,67%,6,67%,,Ventas ,0,5,0%,0,0%,,,Ventas ,2,1,50%,2,50%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Agosto 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Ange,,,,,,,Piso ,,,,,,,,Digital ,,,,,,,Galerias Tlaxcala,,,,,,,Otros,,,,,,,,Estrategia de Prospeccion,,,,,,,Custom,,,,,,,,,,,,,,,,,,,
Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,,,,,,,,,,,,
Ventas ,45,27,60%,45,60%,,Ventas ,10,5,50%,10,50%,,Ventas ,15,7,47%,7,47%,,,Ventas ,13,9,69%,13,69%,,Ventas ,6,1,17%,6,17%,,Ventas ,4,4,100%,4,100%,,,Ventas ,2,1,50%,2,50%,,Ventas ,1,0,0%,1,0%,,,,,,,,,,,,,,
Leads generados,1050,1419,135%,1050,135%,,Leads generados,280,295,105%,280,105%,,Leads generados,80,71,89%,71,89%,,,Leads generados,500,827,165%,500,165%,,Leads generados,160,102,64%,160,64%,,Leads generados,80,70,88%,80,88%,,,Leads generados,50,47,94%,50,94%,,Leads generados,20,7,35%,20,35%,,,,,,,,,,,,,,
Leads efectivos,750,624,83%,750,83%,,Leads efectivos,220,183,83%,220,83%,,Leads efectivos,80,71,89%,71,89%,,,Leads efectivos,410,239,58%,410,58%,,Leads efectivos,100,62,62%,100,62%,,Leads efectivos,75,37,49%,75,49%,,,Leads efectivos,38,25,66%,38,66%,,Leads efectivos,20,7,35%,20,35%,,,,,,,,,,,,,,
Cita programada,230,300,130%,230,130%,,Cita programada,95,50,53%,95,53%,,Cita programada,80,71,89%,71,89%,,,Cita programada,100,135,135%,100,135%,,Cita programada,40,13,33%,40,33%,,Cita programada,15,10,67%,15,67%,,,Cita programada,23,12,52%,23,52%,,Cita programada,20,9,45%,20,45%,,,,,,,,,,,,,,
Cita efectiva,206,194,94%,206,94%,,Cita efectiva,40,36,90%,40,90%,,Cita efectiva,80,71,89%,71,89%,,,Cita efectiva,60,51,85%,60,85%,,Cita efectiva,34,9,26%,34,26%,,Cita efectiva,10,8,80%,10,80%,,,Cita efectiva,14,12,86%,14,86%,,Cita efectiva,20,7,35%,20,35%,,,,,,,,,,,,,,
Prueba de manejo,126,123,98%,126,98%,,Prueba de manejo,28,23,82%,28,82%,,Prueba de manejo,48,44,92%,44,92%,,,Prueba de manejo,36,31,86%,36,86%,,Prueba de manejo,20,8,40%,20,40%,,Prueba de manejo,8,5,63%,8,63%,,,Prueba de manejo,9,11,122%,9,122%,,Prueba de manejo,12,1,8%,12,8%,,,,,,,,,,,,,,
Solicitud de crédito generada,115,99,86%,115,86%,,Solicitud de crédito generada,25,19,76%,25,76%,,Solicitud de crédito generada,35,22,63%,22,63%,,,Solicitud de crédito generada,28,29,104%,28,104%,,Solicitud de crédito generada,17,6,35%,17,35%,,Solicitud de crédito generada,7,22,314%,7,314%,,,Solicitud de crédito generada,8,1,13%,8,13%,,Solicitud de crédito generada,8,0,0%,8,0%,,,,,,,,,,,,,,
Solicitud de crédito aprobada,51,27,53%,51,53%,,Solicitud de crédito aprobada,13,7,54%,13,54%,,Solicitud de crédito aprobada,17,5,29%,5,29%,,,Solicitud de crédito aprobada,15,8,53%,15,53%,,Solicitud de crédito aprobada,10,3,30%,10,30%,,Solicitud de crédito aprobada,5,4,80%,5,80%,,,Solicitud de crédito aprobada,6,0,0%,6,0%,,Solicitud de crédito aprobada,5,0,0%,5,0%,,,,,,,,,,,,,,
Formalizado,38,13,34%,38,34%,,Formalizado,9,3,33%,9,33%,,Formalizado,14,4,29%,4,29%,,,Formalizado,11,4,36%,11,36%,,Formalizado,5,0,0%,5,0%,,Formalizado,2,2,100%,2,100%,,,Formalizado,2,0,0%,2,0%,,Formalizado,1,0,0%,1,0%,,,,,,,,,,,,,,
Ventas ,45,27,60%,45,60%,,Ventas ,10,5,50%,10,50%,,Ventas ,15,7,47%,7,47%,,,Ventas ,13,9,69%,13,69%,,Ventas ,6,1,17%,6,17%,,Ventas ,4,4,100%,4,100%,,,Ventas ,2,1,50%,2,50%,,Ventas ,1,0,0%,1,0%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Septiembre 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Ange,,,,,,,Piso ,,,,,,,,Digital ,,,,,,,Galerias Tlaxcala,,,,,,,Otros / Custom ,,,,,,,,Estrategia de Prospeccion,,,,,,,Custom,,,,,,,,,,,,,,,,,,,
Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,,,,,,,,,,,,
Ventas ,45,38,84%,45,84%,,Ventas ,10,12,120%,10,120%,,Ventas ,15,7,47%,15,47%,,,Ventas ,13,15,115%,13,115%,,Ventas ,6,3,50%,6,50%,,Ventas ,1,1,100%,1,100%,,,Ventas ,2,0,0%,2,0%,,Ventas ,,,,,,,,,,,,,,,,,,,
Leads generados,1050,1100,105%,1050,105%,,Leads generados,280,245,88%,280,88%,,Leads generados,80,58,73%,80,73%,,,Leads generados,500,676,135%,500,135%,,Leads generados,160,67,42%,160,42%,,Leads generados,40,36,90%,40,90%,,,Leads generados,50,18,36%,50,36%,,Leads generados,,,,,,,,,,,,,,,,,,,
Leads efectivos,750,660,88%,750,88%,,Leads efectivos,220,180,82%,220,82%,,Leads efectivos,80,58,73%,80,73%,,,Leads efectivos,410,344,84%,410,84%,,Leads efectivos,100,37,37%,100,37%,,Leads efectivos,40,27,68%,40,68%,,,Leads efectivos,38,14,37%,38,37%,,Leads efectivos,,,,,,,,,,,,,,,,,,,
Cita programada,230,273,119%,230,119%,,Cita programada,95,64,67%,95,67%,,Cita programada,80,58,73%,80,73%,,,Cita programada,100,125,125%,100,125%,,Cita programada,40,10,25%,40,25%,,Cita programada,26,13,50%,26,50%,,,Cita programada,23,3,13%,23,13%,,Cita programada,,,,,,,,,,,,,,,,,,,
Cita efectiva,206,212,103%,206,103%,,Cita efectiva,40,45,113%,40,113%,,Cita efectiva,80,58,73%,80,73%,,,Cita efectiva,60,73,122%,60,122%,,Cita efectiva,34,9,26%,34,26%,,Cita efectiva,26,12,46%,26,46%,,,Cita efectiva,14,3,21%,14,21%,,Cita efectiva,,,,,,,,,,,,,,,,,,,
Prueba de manejo,126,116,92%,126,92%,,Prueba de manejo,28,32,114%,28,114%,,Prueba de manejo,48,31,65%,48,65%,,,Prueba de manejo,36,31,86%,36,86%,,Prueba de manejo,20,9,45%,20,45%,,Prueba de manejo,18,8,44%,18,44%,,,Prueba de manejo,9,3,33%,9,33%,,Prueba de manejo,,,,,,,,,,,,,,,,,,,
Solicitud de crédito generada,115,127,110%,115,110%,,Solicitud de crédito generada,25,35,140%,25,140%,,Solicitud de crédito generada,35,21,60%,35,60%,,,Solicitud de crédito generada,28,36,129%,28,129%,,Solicitud de crédito generada,17,9,53%,17,53%,,Solicitud de crédito generada,14,24,171%,14,171%,,,Solicitud de crédito generada,8,2,25%,8,25%,,Solicitud de crédito generada,,,,,,,,,,,,,,,,,,,
Solicitud de crédito aprobada,51,43,84%,51,84%,,Solicitud de crédito aprobada,13,13,100%,13,100%,,Solicitud de crédito aprobada,17,6,35%,17,35%,,,Solicitud de crédito aprobada,15,12,80%,15,80%,,Solicitud de crédito aprobada,10,4,40%,10,40%,,Solicitud de crédito aprobada,7,8,114%,7,114%,,,Solicitud de crédito aprobada,6,0,0%,6,0%,,Solicitud de crédito aprobada,,,,,,,,,,,,,,,,,,,
Formalizado,38,25,66%,38,66%,,Formalizado,9,5,56%,9,56%,,Formalizado,14,4,29%,14,29%,,,Formalizado,11,6,55%,11,55%,,Formalizado,5,3,60%,5,60%,,Formalizado,3,7,233%,3,233%,,,Formalizado,2,0,0%,2,0%,,Formalizado,,,,,,,,,,,,,,,,,,,
Ventas ,45,38,84%,45,84%,,Ventas ,10,12,120%,10,120%,,Ventas ,15,7,47%,15,47%,,,Ventas ,13,15,115%,13,115%,,Ventas ,6,3,50%,6,50%,,Ventas ,1,1,100%,1,100%,,,Ventas ,2,0,0%,2,0%,,Ventas ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Octubre 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Ange,,,,,,,Piso ,,,,,,,,Digital ,,,,,,,Galerias Tlaxcala,,,,,,,Otros / Cartera / Casa ,,,,,,,,Estrategia de Prospeccion,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,,,,,,,,,,,,,,,,,,,
Ventas ,45,40,89%,45,89%,,Ventas ,12,10,83%,12,83%,,Ventas ,13,11,85%,13,85%,,,Ventas ,13,10,77%,13,77%,,Ventas ,6,2,33%,6,33%,,Ventas ,1,7,700%,1,700%,,,Ventas ,2,0,0%,2,0%,,,,,,,,,,,,,,,,,,,,,
Leads generados,1050,1192,114%,1050,114%,,Leads generados,280,268,96%,280,96%,,Leads generados,80,72,90%,80,90%,,,Leads generados,500,688,138%,500,138%,,Leads generados,100,56,56%,100,56%,,Leads generados,40,64,160%,40,160%,,,Leads generados,50,44,88%,50,88%,,,,,,,,,,,,,,,,,,,,,
Leads efectivos,750,695,93%,750,93%,,Leads efectivos,220,187,85%,220,85%,,Leads efectivos,80,72,90%,80,90%,,,Leads efectivos,410,329,80%,410,80%,,Leads efectivos,85,39,46%,85,46%,,Leads efectivos,40,34,85%,40,85%,,,Leads efectivos,38,34,89%,38,89%,,,,,,,,,,,,,,,,,,,,,
Cita programada,230,304,132%,230,132%,,Cita programada,95,50,53%,95,53%,,Cita programada,80,72,90%,80,90%,,,Cita programada,100,110,110%,100,110%,,Cita programada,35,27,77%,35,77%,,Cita programada,26,37,142%,26,142%,,,Cita programada,23,8,35%,23,35%,,,,,,,,,,,,,,,,,,,,,
Cita efectiva,206,220,107%,206,107%,,Cita efectiva,40,40,100%,40,100%,,Cita efectiva,80,72,90%,80,90%,,,Cita efectiva,60,60,100%,60,100%,,Cita efectiva,25,8,32%,25,32%,,Cita efectiva,26,33,127%,26,127%,,,Cita efectiva,14,7,50%,14,50%,,,,,,,,,,,,,,,,,,,,,
Prueba de manejo,126,154,122%,126,122%,,Prueba de manejo,28,33,118%,28,118%,,Prueba de manejo,48,48,100%,48,100%,,,Prueba de manejo,36,32,89%,36,89%,,Prueba de manejo,20,10,50%,20,50%,,Prueba de manejo,18,15,83%,18,83%,,,Prueba de manejo,9,9,100%,9,100%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito generada,115,136,118%,115,118%,,Solicitud de crédito generada,25,30,120%,25,120%,,Solicitud de crédito generada,35,24,69%,35,69%,,,Solicitud de crédito generada,28,50,179%,28,179%,,Solicitud de crédito generada,17,8,47%,17,47%,,Solicitud de crédito generada,14,21,150%,14,150%,,,Solicitud de crédito generada,8,3,38%,8,38%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito aprobada,51,51,100%,51,100%,,Solicitud de crédito aprobada,13,12,92%,13,92%,,Solicitud de crédito aprobada,17,14,82%,17,82%,,,Solicitud de crédito aprobada,15,14,93%,15,93%,,Solicitud de crédito aprobada,10,2,20%,10,20%,,Solicitud de crédito aprobada,7,8,114%,7,114%,,,Solicitud de crédito aprobada,6,1,17%,6,17%,,,,,,,,,,,,,,,,,,,,,
Formalizado,38,25,66%,38,66%,,Formalizado,9,6,67%,9,67%,,Formalizado,14,6,43%,14,43%,,,Formalizado,11,6,55%,11,55%,,Formalizado,4,1,25%,4,25%,,Formalizado,3,6,200%,3,200%,,,Formalizado,2,0,0%,2,0%,,,,,,,,,,,,,,,,,,,,,
Ventas ,45,40,89%,45,89%,,Ventas ,12,10,83%,12,83%,,Ventas ,13,11,85%,13,85%,,,Ventas ,13,10,77%,13,77%,,Ventas ,6,2,33%,6,33%,,Ventas ,1,7,700%,1,700%,,,Ventas ,2,0,0%,2,0%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Noviembre 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Ange,,,,,,,Piso ,,,,,,,,Digital ,,,,,,,Galerias Tlaxcala,,,,,,,Otros / Cartera / Casa ,,,,,,,,Estrategia de Prospeccion,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,,,,,,,,,,,,,,,,,,,
Ventas ,45,43,96%,45,96%,,Ventas ,12,10,83%,12,83%,,Ventas ,13,9,69%,13,69%,,,Ventas ,13,14,108%,13,108%,,Ventas ,6,1,17%,6,17%,,Ventas ,7,8,114%,7,114%,,,Ventas ,2,0,0%,2,0%,,,,,,,,,,,,,,,,,,,,,
Leads generados,1125,1075,96%,1125,96%,,Leads generados,280,210,75%,280,75%,,Leads generados,85,81,95%,85,95%,,,Leads generados,600,554,92%,600,92%,,Leads generados,100,64,64%,100,64%,,Leads generados,40,129,323%,40,323%,,,Leads generados,50,23,46%,50,46%,,,,,,,,,,,,,,,,,,,,,
Leads efectivos,785,758,97%,785,97%,,Leads efectivos,220,170,77%,220,77%,,Leads efectivos,85,81,95%,85,95%,,,Leads efectivos,410,342,83%,410,83%,,Leads efectivos,85,39,46%,85,46%,,Leads efectivos,40,94,235%,40,235%,,,Leads efectivos,38,18,47%,38,47%,,,,,,,,,,,,,,,,,,,,,
Cita programada,240,329,110%,240,110%,,Cita programada,95,53,56%,95,56%,,Cita programada,85,81,95%,85,95%,,,Cita programada,100,97,97%,100,97%,,Cita programada,35,7,20%,35,20%,,Cita programada,26,75,288%,26,288%,,,Cita programada,23,2,9%,23,9%,,,,,,,,,,,,,,,,,,,,,
Cita efectiva,215,225,105%,215,105%,,Cita efectiva,45,29,64%,45,64%,,Cita efectiva,85,81,95%,85,95%,,,Cita efectiva,60,55,92%,60,92%,,Cita efectiva,25,3,12%,25,12%,,Cita efectiva,26,42,162%,26,162%,,,Cita efectiva,14,1,7%,14,7%,,,,,,,,,,,,,,,,,,,,,
Prueba de manejo,130,116,89%,130,89%,,Prueba de manejo,33,29,88%,33,88%,,Prueba de manejo,48,43,90%,48,90%,,,Prueba de manejo,36,22,61%,36,61%,,Prueba de manejo,20,4,20%,20,20%,,Prueba de manejo,18,12,67%,18,67%,,,Prueba de manejo,9,0,0%,9,0%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito generada,125,119,95%,125,95%,,Solicitud de crédito generada,28,28,100%,28,100%,,Solicitud de crédito generada,35,21,60%,35,60%,,,Solicitud de crédito generada,28,42,110%,28,110%,,Solicitud de crédito generada,17,5,29%,17,29%,,Solicitud de crédito generada,14,21,150%,14,150%,,,Solicitud de crédito generada,8,1,13%,8,13%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito aprobada,58,49,84%,58,84%,,Solicitud de crédito aprobada,16,9,56%,16,56%,,Solicitud de crédito aprobada,17,13,76%,17,76%,,,Solicitud de crédito aprobada,15,10,67%,15,67%,,Solicitud de crédito aprobada,10,3,30%,10,30%,,Solicitud de crédito aprobada,8,13,163%,8,163%,,,Solicitud de crédito aprobada,6,1,17%,6,17%,,,,,,,,,,,,,,,,,,,,,
Formalizado,38,24,63%,38,63%,,Formalizado,9,5,56%,9,56%,,Formalizado,11,8,73%,11,73%,,,Formalizado,11,6,55%,11,55%,,Formalizado,4,0,0%,4,0%,,Formalizado,3,5,167%,3,167%,,,Formalizado,2,0,0%,2,0%,,,,,,,,,,,,,,,,,,,,,
Ventas ,45,43,96%,45,96%,,Ventas ,12,10,83%,12,83%,,Ventas ,13,9,69%,13,69%,,,Ventas ,13,14,108%,13,108%,,Ventas ,6,1,17%,6,17%,,Ventas ,7,8,114%,7,114%,,,Ventas ,2,0,0%,2,0%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Diciembre 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Ange,,,,,,,Piso ,,,,,,,,Digital ,,,,,,,Galerias Tlaxcala,,,,,,,Otros / Cartera / Casa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventas ,50,34,68%,50,68%,,Ventas ,12,8,67%,12,67%,,Ventas ,13,9,69%,13,69%,,,Ventas ,13,8,62%,13,62%,,Ventas ,6,1,17%,6,17%,,Ventas ,9,8,89%,9,89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leads generados,1280,1534,110%,1280,110%,,Leads generados,280,252,90%,280,90%,,Leads generados,85,76,89%,85,89%,,,Leads generados,600,908,110%,600,110%,,Leads generados,100,73,73%,100,73%,,Leads generados,135,225,110%,135,110%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leads efectivos,790,1137,110%,790,110%,,Leads efectivos,220,218,99%,220,99%,,Leads efectivos,85,76,89%,85,89%,,,Leads efectivos,410,576,110%,410,110%,,Leads efectivos,85,69,81%,85,81%,,Leads efectivos,118,198,110%,118,110%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cita programada,280,290,104%,280,104%,,Cita programada,95,36,38%,95,38%,,Cita programada,85,76,89%,85,89%,,,Cita programada,100,90,90%,100,90%,,Cita programada,35,10,29%,35,29%,,Cita programada,86,78,91%,86,91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cita efectiva,215,235,109%,215,109%,,Cita efectiva,45,31,69%,45,69%,,Cita efectiva,85,76,89%,85,89%,,,Cita efectiva,60,51,85%,60,85%,,Cita efectiva,25,10,40%,25,40%,,Cita efectiva,67,67,100%,67,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prueba de manejo,130,130,100%,130,100%,,Prueba de manejo,33,13,39%,33,39%,,Prueba de manejo,48,22,46%,48,46%,,,Prueba de manejo,36,23,64%,36,64%,,Prueba de manejo,20,5,25%,20,25%,,Prueba de manejo,52,67,110%,52,110%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito generada,125,111,89%,125,89%,,Solicitud de crédito generada,28,28,100%,28,100%,,Solicitud de crédito generada,35,27,77%,35,77%,,,Solicitud de crédito generada,28,39,110%,28,110%,,Solicitud de crédito generada,17,6,35%,17,35%,,Solicitud de crédito generada,38,11,29%,38,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito aprobada,60,31,52%,60,52%,,Solicitud de crédito aprobada,16,8,50%,16,50%,,Solicitud de crédito aprobada,17,9,53%,17,53%,,,Solicitud de crédito aprobada,15,7,47%,15,47%,,Solicitud de crédito aprobada,10,2,20%,10,20%,,Solicitud de crédito aprobada,26,5,19%,26,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
